years,factor_returns,factor_sd,factor_sharpe,index_returns,index_sd,index_sharpe
2001,0.029899116276257194,0.012622754128357595,2.3686681980985007,0.2684874673548586,0.08084976998171464,3.320819186196584
2002,0.0831563241960827,0.02487156883887131,3.3434289865189055,0.07139728782124372,0.03041603813744754,2.3473565984697062
2003,0.07585325971540344,0.03416545624797128,2.2201740601636937,-0.11663687847000796,0.07224617073972125,-1.614436824481834
2004,0.24264751780627108,0.09153929567379938,2.6507470482506923,0.022246629552765126,0.0161179610193485,1.3802384511328438
2005,0.13643367486025745,0.08534724595949766,1.5985714984289396,-0.1491152441054835,0.0707676354491532,-2.1071107316087074
2006,0.1152167488969274,0.047101290701907904,2.446148442642579,0.010485257069155124,0.037195147560716846,0.2818985205540356
2007,0.18978185162927275,0.10784996745939128,1.7596839025540851,0.19998519662673586,0.05674673276676654,3.524171117457819
2008,0.2885835144709768,0.22670935970425168,1.272922806748877,0.5654080989923523,0.2291646024833535,2.4672575644985293
2009,0.08514099623623923,0.08427942771605706,1.0102227618711987,-0.453620171044476,0.23177402782238166,-1.9571656725580335
2010,-0.059577303621817915,0.06743966759001939,-0.8834163297482645,0.05325386496952087,0.08680396650937988,0.6134957549867995
2011,-0.019186157920952303,0.036576524908753794,-0.5245484082704782,-0.13728338993640457,0.07362790663790626,-1.8645564732887054
2012,0.10165157781904163,0.07350394755003944,1.3829403890157064,-0.07692330082651626,0.03274838288399208,-2.348919062630038
2013,0.062334243746063965,0.0959107488574419,0.6499192685766141,-0.031796793968787034,0.025058678054845077,-1.2688935106311063
2014,0.07038283269253372,0.08592008678630376,0.8191662197407511,0.051142138168394864,0.019044000453069726,2.6854724297252996
2015,0.14190489100159492,0.13943551536089785,1.0177098039499166,0.011881334528202434,0.028634154215354788,0.4149357595423993
2016,0.07767374597131035,0.17715656412103406,0.4384468978425397,-0.3331946485603877,0.13274765733227925,-2.5099851496917323
